ID,V_UID,Vendor,Tracer_Family,Tracer_Model,Tracer_Cat_No,Voltage,Zone,Gas_Group,T_Rating,A_Coeff,B_Coeff,C_Coeff,Maint_T,Max_Op_T,Min_Installation_T,Max_Exp_T_On,Max_Exp_T_Off,Power_at_Startup_T,Ohm_per_km,Res_corrFactor_Mica
483,Krus-Zapad^MN^CK-MI-1M.N/400,Krus-Zapad,MI,MN,CK-MI-1M.N/400,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00009,399.28,250,250,-50,400,400,0,400,1.2
484,Krus-Zapad^MN^CK-MI-1M.N/250,Krus-Zapad,MI,MN,CK-MI-1M.N/250,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00009,249.55,250,250,-50,400,400,0,250,1.2
485,Krus-Zapad^MN^CK-MI-1M.N/160,Krus-Zapad,MI,MN,CK-MI-1M.N/160,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00009,159.712,250,250,-50,400,400,0,160,1.2
486,Krus-Zapad^MN^CK-MI-1M.N/63,Krus-Zapad,MI,MN,CK-MI-1M.N/63,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00009,62.8866,250,250,-50,400,400,0,63,1.2
487,Krus-Zapad^MN^CK-MI-1M.N/40,Krus-Zapad,MI,MN,CK-MI-1M.N/40,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00009,39.928,250,250,-50,400,400,0,40,1.2
488,Krus-Zapad^MN^CK-MI-1M.N/25,Krus-Zapad,MI,MN,CK-MI-1M.N/25,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00004,24.98,250,250,-50,400,400,0,25,1.2
489,Krus-Zapad^MN^CK-MI-1M.N/17,Krus-Zapad,MI,MN,CK-MI-1M.N/17,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00004,16.9864,250,250,-50,400,400,0,17,1.2
490,Krus-Zapad^MN^CK-MI-1M.N/11,Krus-Zapad,MI,MN,CK-MI-1M.N/11,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.0005,10.89,250,250,-50,400,400,0,11,1.2
491,Krus-Zapad^MN^CK-MI-1M.N/7,Krus-Zapad,MI,MN,CK-MI-1M.N/7,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.0005,6.93,250,250,-50,400,400,0,7,1.2
492,Krus-Zapad^MN^CK-MI-1M.N/4,Krus-Zapad,MI,MN,CK-MI-1M.N/4,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.0005,3.96,250,250,-50,400,400,0,4,1.2
493,Krus-Zapad^MS^CK-MI-1M.S/10000,Krus-Zapad,MI,MS,CK-MI-1M.S/10000,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00009,9982,450,450,-50,700,700,0,10000,1.2
494,Krus-Zapad^MS^CK-MI-1M.S/6300,Krus-Zapad,MI,MS,CK-MI-1M.S/6300,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00009,6288.66,450,450,-50,700,700,0,6300,1.2
495,Krus-Zapad^MS^CK-MI-1M.S/4000,Krus-Zapad,MI,MS,CK-MI-1M.S/4000,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00009,3992.8,450,450,-50,700,700,0,4000,1.2
496,Krus-Zapad^MS^CK-MI-1M.S/2500,Krus-Zapad,MI,MS,CK-MI-1M.S/2500,300,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,0.00009,2495.5,450,450,-50,700,700,0,2500,1.2
337,Krus-Zapad^CK-FS.250^CK-FS.250/9,Krus-Zapad,Self Regulating,CK-FS.250,CK-FS.250/9,230,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,-0.039130435,9.391304348,150,150,-50,250,250,9,0,0
338,Krus-Zapad^CK-FS.250^CK-FS.250/15,Krus-Zapad,Self Regulating,CK-FS.250,CK-FS.250/15,230,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,-0.065217391,15.65217391,150,150,-50,250,250,15,0,0
339,Krus-Zapad^CK-FS.250^CK-FS.250/19,Krus-Zapad,Self Regulating,CK-FS.250,CK-FS.250/19,230,"Zone1, Zone2",1Ex e IIC,1Ex II T6 ... T2 Gb X,0,-0.082608696,19.82608696,150,150,-50,250,250,19,0,0
